ZhuanwangCenter5750#show arp vlan 302
Protocol  Address          Age(min)  Hardware        Type   Interface               
Internet  10.200.12.1      --        0074.9cdd.2e7f  arpa   VLAN 302                
Internet  10.200.12.2      0         78ca.8340.390d  arpa   VLAN 302                
Internet  10.200.12.3      0         78ca.8340.5ca9  arpa   VLAN 302                
Internet  10.200.12.4      0         78ca.8340.6e96  arpa   VLAN 302                
Internet  10.200.12.5      0         78ca.8340.6d02  arpa   VLAN 302                
Internet  10.200.12.6      0         78ca.8340.899c  arpa   VLAN 302                
Internet  10.200.12.8      4         a4ae.1112.8b6d  arpa   VLAN 302                
Internet  10.200.12.9      0         78ca.8340.8873  arpa   VLAN 302                
Internet  10.200.12.10     0         78ca.8340.7141  arpa   VLAN 302                
Internet  10.200.12.11     0         78ca.8340.7179  arpa   VLAN 302                
Internet  10.200.12.12     0         78ca.8340.6ece  arpa   VLAN 302                
Internet  10.200.12.13     0         78ca.8340.6ea5  arpa   VLAN 302                
Internet  10.200.12.14     0         78ca.8340.714f  arpa   VLAN 302                
Internet  10.200.12.15     9         0a20.1925.9343  arpa   VLAN 302                
Internet  10.200.12.17     14        0a20.1925.9341  arpa   VLAN 302                
Internet  10.200.12.18     0         78ca.8340.680a  arpa   VLAN 302                
Internet  10.200.12.22     1         0c65.fa00.3831  arpa   VLAN 302                
Internet  10.200.12.23     0         0c65.fa00.3e15  arpa   VLAN 302                
Internet  10.200.12.24     4         0c65.fa00.3e3a  arpa   VLAN 302                
Internet  10.200.12.25     9         0c65.fa00.4056  arpa   VLAN 302                
Internet  10.200.12.28     0         78ca.8340.897f  arpa   VLAN 302                
Internet  10.200.12.29     0         78ca.8340.8608  arpa   VLAN 302                
Internet  10.200.12.30     4         0c65.fa00.405f  arpa   VLAN 302                
Internet  10.200.12.31     0         78ca.8345.006e  arpa   VLAN 302                
Internet  10.200.12.33     9         0c65.fa00.3e4d  arpa   VLAN 302                
Internet  10.200.12.34     0         78ca.8340.6ea0  arpa   VLAN 302                
Internet  10.200.12.35     0         78ca.8340.7a36  arpa   VLAN 302                
Internet  10.200.12.36     0         78ca.8340.6ea1  arpa   VLAN 302                
Internet  10.200.12.37     0         78ca.8340.6ee2  arpa   VLAN 302                
Internet  10.200.12.38     12        0c65.fa00.3fe4  arpa   VLAN 302                
Internet  10.200.12.39     20        0c65.fa00.37d0  arpa   VLAN 302                
Internet  10.200.12.40     12        0c65.fa00.3f45  arpa   VLAN 302                
